plan_id,county_id
56707OR1350004,41035
63474OR0600010-06,41017
71287OR0420019,41003
39424OR1620002-05,41007
71287OR0420011,41027
10091OR0760003,41063
10091OR0750012,41065
56707OR1430003,41001
10091OR0750014,41041
10091OR0750004,41011
56707OR1360004-06,41021
39424OR1620051,41025
56707OR1430003,41045
71287OR0420014,41047
10091OR0750013-05,41009
10091OR0760003,41013
39424OR1620069-06,41059
56707OR1330004,41067
39424OR1610006,41059
71287OR0420003-04,41005
63474OR0600009,41057
56707OR1360004-05,41063
71287OR0420012,41053
39424OR1620052,41017
39424OR1620077-06,41035
39424OR1620064,41029
10091OR0750004-05,41063
10091OR0760003,41061
39424OR1620077-06,41049
10091OR0760003,41009
10091OR0750018,41069
10091OR0750013-06,41001
39424OR1620063-06,41011
71287OR0420001,41005
56707OR1400003,41017
10091OR0750016,41055
10091OR0750004-04,41027
10091OR0750020,41065
10091OR0750005-05,41003
10091OR0750005,41047
63474OR0600010,41037
56707OR1360004-06,41023
56707OR1330004-04,41043
10091OR0760001,41055
63474OR0600010-06,41065
56707OR1420003,41019
10091OR0750005,41065
63474OR0600009,41033
77969OR5290002,41071
39424OR1620077-06,41023
77969OR5280022-04,41047
71287OR0420018,41047
71287OR0420001,41053
10091OR0750013,41001
10091OR0750017,41049
77969OR5280021-06,41027
10091OR0750020,41031
77969OR5280030,41041
39424OR1620002-06,41067
10091OR0750015,41023
39424OR1610005-04,41061
77969OR5280028,41007
39424OR1620001,41029
39424OR1620077-05,41037
10091OR0760001,41063
39424OR1620053-04,41049
39424OR1610005,41023
39424OR1620072,41061
10091OR0750018,41023
39424OR1620077-06,41063
39424OR1620072,41035
56707OR1430003,41051
39424OR1620077-05,41013
56707OR1360004-05,41019
71287OR0420018,41027
77969OR5280021-05,41005
10091OR0750013-04,41023
56707OR1350004,41001
39424OR1620069-06,41063
39424OR1620053,41031
10091OR0750005-06,41039
39424OR1620066,41009
10091OR0750020,41011
71287OR0420003-06,41039
71287OR0420012-06,41043
39424OR1610004,41025
10091OR0750005-04,41033
63474OR0600010,41005
10091OR0750013-05,41031
77969OR5280010,41069
39424OR1620053-05,41021
71287OR0420022-06,41043
77969OR5280015-06,41047
10091OR0750005-06,41029
10091OR0750014,41007
10091OR0750003,41031
77969OR5290002,41065
39424OR1620069-04,41049
10091OR0750003,41001
77969OR5280015-05,41009
10091OR0750020,41005
77969OR5280028,41009
71287OR0420003-05,41003
77969OR5280021-04,41039
39424OR1620053,41053
