age_0,age_0_tobacco,age_1,age_1_tobacco,age_2,age_2_tobacco,age_3,age_3_tobacco,age_4,age_4_tobacco,age_5,age_5_tobacco,age_6,age_6_tobacco,age_7,age_7_tobacco,age_8,age_8_tobacco,age_9,age_9_tobacco,age_10,age_10_tobacco,age_11,age_11_tobacco,age_12,age_12_tobacco,age_13,age_13_tobacco,age_14,age_14_tobacco,age_15,age_15_tobacco,age_16,age_16_tobacco,age_17,age_17_tobacco,age_18,age_18_tobacco,age_19,age_19_tobacco,age_20,age_20_tobacco,age_21,age_21_tobacco,age_22,age_22_tobacco,age_23,age_23_tobacco,age_24,age_24_tobacco,age_25,age_25_tobacco,age_26,age_26_tobacco,age_27,age_27_tobacco,age_28,age_28_tobacco,age_29,age_29_tobacco,age_30,age_30_tobacco,age_31,age_31_tobacco,age_32,age_32_tobacco,age_33,age_33_tobacco,age_34,age_34_tobacco,age_35,age_35_tobacco,age_36,age_36_tobacco,age_37,age_37_tobacco,age_38,age_38_tobacco,age_39,age_39_tobacco,age_40,age_40_tobacco,age_41,age_41_tobacco,age_42,age_42_tobacco,age_43,age_43_tobacco,age_44,age_44_tobacco,age_45,age_45_tobacco,age_46,age_46_tobacco,age_47,age_47_tobacco,age_48,age_48_tobacco,age_49,age_49_tobacco,age_50,age_50_tobacco,age_51,age_51_tobacco,age_52,age_52_tobacco,age_53,age_53_tobacco,age_54,age_54_tobacco,age_55,age_55_tobacco,age_56,age_56_tobacco,age_57,age_57_tobacco,age_58,age_58_tobacco,age_59,age_59_tobacco,age_60,age_60_tobacco,age_61,age_61_tobacco,age_62,age_62_tobacco,age_63,age_63_tobacco,age_64,age_64_tobacco,age_65,age_65_tobacco,child_only,family,fixed_price,plan_id,rating_area_id,single,single_and_children,single_and_spouse,effective_date,single_tobacco,expiration_date,source,updated_at
237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,373.0,448.0,373.0,448.0,373.0,448.0,373.0,448.0,375.0,449.0,382.0,458.0,391.0,469.0,406.0,487.0,417.0,501.0,423.0,508.0,432.0,519.0,441.0,530.0,447.0,536.0,453.0,543.0,456.0,547.0,459.0,551.0,462.0,554.0,465.0,558.0,471.0,565.0,477.0,572.0,486.0,583.0,494.0,593.0,506.0,608.0,521.0,625.0,539.0,646.0,560.0,672.0,583.0,700.0,610.0,732.0,636.0,764.0,666.0,800.0,696.0,835.0,728.0,874.0,761.0,913.0,797.0,956.0,832.0,998.0,870.0,1044.0,909.0,1091.0,951.0,1141.0,971.0,1165.0,1013.0,1215.0,1048.0,1258.0,1072.0,1286.0,1101.0,1322.0,1119.0,1343.0,1119.0,1343.0,,,,10091OR0750002,OR02,,,,2024-01-01,,2024-12-31,cms,2023-10-25
220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,346.0,415.0,346.0,415.0,346.0,415.0,346.0,415.0,347.0,416.0,354.0,425.0,362.0,435.0,376.0,451.0,387.0,464.0,392.0,471.0,401.0,481.0,409.0,491.0,414.0,497.0,420.0,504.0,422.0,507.0,425.0,510.0,428.0,514.0,431.0,517.0,436.0,524.0,442.0,530.0,450.0,540.0,458.0,550.0,469.0,563.0,483.0,580.0,499.0,599.0,519.0,622.0,540.0,648.0,565.0,678.0,590.0,708.0,617.0,741.0,645.0,774.0,675.0,810.0,705.0,846.0,738.0,886.0,771.0,925.0,806.0,968.0,842.0,1011.0,881.0,1057.0,900.0,1080.0,938.0,1126.0,971.0,1166.0,993.0,1192.0,1020.0,1225.0,1037.0,1244.0,1037.0,1244.0,,,,10091OR0750002,OR03,,,,2024-01-01,,2024-12-31,cms,2023-10-25
240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,378.0,454.0,378.0,454.0,378.0,454.0,378.0,454.0,380.0,456.0,387.0,465.0,397.0,476.0,411.0,494.0,423.0,508.0,429.0,515.0,439.0,526.0,448.0,537.0,453.0,544.0,459.0,551.0,462.0,555.0,465.0,558.0,468.0,562.0,471.0,566.0,477.0,573.0,484.0,580.0,493.0,591.0,501.0,602.0,513.0,616.0,529.0,634.0,546.0,656.0,568.0,681.0,591.0,710.0,619.0,742.0,645.0,775.0,676.0,811.0,706.0,847.0,739.0,886.0,772.0,926.0,808.0,969.0,844.0,1012.0,883.0,1059.0,922.0,1106.0,964.0,1157.0,985.0,1182.0,1027.0,1232.0,1063.0,1276.0,1087.0,1304.0,1117.0,1340.0,1134.0,1362.0,1134.0,1362.0,,,,10091OR0750020,OR02,,,,2024-01-01,,2024-12-31,cms,2023-10-25
196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,308.0,370.0,308.0,370.0,308.0,370.0,308.0,370.0,309.0,371.0,315.0,379.0,323.0,387.0,335.0,402.0,345.0,414.0,350.0,420.0,357.0,428.0,364.0,437.0,369.0,443.0,374.0,449.0,376.0,452.0,379.0,455.0,381.0,458.0,384.0,461.0,389.0,466.0,394.0,472.0,401.0,481.0,408.0,490.0,418.0,502.0,430.0,516.0,445.0,534.0,462.0,554.0,481.0,578.0,504.0,604.0,526.0,631.0,550.0,660.0,574.0,689.0,601.0,722.0,628.0,754.0,658.0,789.0,687.0,824.0,719.0,862.0,751.0,901.0,785.0,942.0,802.0,962.0,836.0,1003.0,866.0,1039.0,885.0,1062.0,909.0,1091.0,924.0,1109.0,924.0,1109.0,,,,10091OR0750002,OR01,,,,2024-01-01,,2024-12-31,cms,2023-10-25
214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,337.0,404.0,337.0,404.0,337.0,404.0,337.0,404.0,338.0,406.0,345.0,414.0,353.0,423.0,366.0,439.0,377.0,452.0,382.0,459.0,390.0,468.0,398.0,478.0,403.0,484.0,409.0,491.0,411.0,494.0,414.0,497.0,417.0,500.0,420.0,503.0,425.0,510.0,430.0,516.0,438.0,526.0,446.0,535.0,457.0,548.0,470.0,564.0,486.0,583.0,505.0,606.0,526.0,632.0,551.0,661.0,574.0,689.0,601.0,722.0,628.0,754.0,657.0,789.0,687.0,824.0,719.0,863.0,751.0,901.0,786.0,943.0,821.0,985.0,858.0,1030.0,876.0,1052.0,914.0,1097.0,946.0,1135.0,967.0,1161.0,994.0,1193.0,1010.0,1212.0,1010.0,1212.0,,,,10091OR0750020,OR04,,,,2024-01-01,,2024-12-31,cms,2023-10-25
211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,332.0,398.0,332.0,398.0,332.0,398.0,332.0,398.0,333.0,400.0,340.0,408.0,348.0,418.0,361.0,433.0,372.0,446.0,377.0,452.0,385.0,462.0,393.0,471.0,398.0,477.0,403.0,484.0,406.0,487.0,408.0,490.0,411.0,493.0,414.0,496.0,419.0,503.0,424.0,509.0,432.0,519.0,440.0,528.0,451.0,541.0,464.0,557.0,479.0,575.0,498.0,598.0,519.0,623.0,543.0,651.0,566.0,680.0,593.0,712.0,619.0,743.0,648.0,778.0,677.0,813.0,709.0,851.0,740.0,888.0,775.0,929.0,809.0,971.0,846.0,1015.0,864.0,1037.0,901.0,1081.0,933.0,1119.0,954.0,1145.0,980.0,1176.0,996.0,1194.0,996.0,1194.0,,,,10091OR0750002,OR04,,,,2024-01-01,,2024-12-31,cms,2023-10-25
198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,312.0,375.0,312.0,375.0,312.0,375.0,312.0,375.0,314.0,376.0,320.0,384.0,327.0,393.0,340.0,408.0,350.0,420.0,355.0,425.0,362.0,434.0,370.0,443.0,374.0,449.0,379.0,455.0,382.0,458.0,384.0,461.0,387.0,464.0,389.0,467.0,394.0,473.0,399.0,479.0,407.0,488.0,414.0,497.0,424.0,509.0,436.0,524.0,451.0,541.0,469.0,562.0,488.0,586.0,511.0,613.0,533.0,640.0,558.0,670.0,583.0,699.0,610.0,732.0,637.0,765.0,667.0,800.0,697.0,836.0,729.0,875.0,761.0,914.0,796.0,955.0,813.0,976.0,848.0,1017.0,878.0,1053.0,898.0,1077.0,922.0,1107.0,936.0,1125.0,936.0,1125.0,,,,10091OR0750020,OR01,,,,2024-01-01,,2024-12-31,cms,2023-10-25
224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,353.0,423.0,353.0,423.0,353.0,423.0,353.0,423.0,354.0,425.0,361.0,433.0,369.0,443.0,383.0,460.0,394.0,473.0,400.0,480.0,409.0,490.0,417.0,500.0,422.0,507.0,428.0,514.0,431.0,517.0,434.0,520.0,436.0,524.0,439.0,527.0,445.0,534.0,451.0,541.0,459.0,551.0,467.0,561.0,478.0,574.0,492.0,591.0,509.0,611.0,529.0,635.0,551.0,661.0,576.0,692.0,601.0,722.0,630.0,756.0,657.0,789.0,688.0,826.0,719.0,863.0,753.0,903.0,786.0,943.0,822.0,987.0,859.0,1031.0,898.0,1078.0,918.0,1101.0,957.0,1148.0,991.0,1189.0,1013.0,1215.0,1041.0,1249.0,1058.0,1269.0,1058.0,1269.0,,,,10091OR0750002,OR06,,,,2024-01-01,,2024-12-31,cms,2023-10-25
231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,364.0,437.0,364.0,437.0,364.0,437.0,364.0,437.0,366.0,439.0,373.0,448.0,382.0,458.0,396.0,475.0,408.0,489.0,414.0,496.0,422.0,507.0,431.0,517.0,437.0,524.0,442.0,531.0,445.0,534.0,448.0,538.0,451.0,541.0,454.0,545.0,460.0,552.0,466.0,559.0,475.0,569.0,483.0,580.0,495.0,594.0,509.0,611.0,526.0,632.0,547.0,656.0,570.0,684.0,596.0,715.0,622.0,746.0,651.0,781.0,680.0,816.0,711.0,854.0,744.0,892.0,778.0,934.0,813.0,975.0,850.0,1020.0,888.0,1066.0,929.0,1114.0,949.0,1138.0,989.0,1187.0,1024.0,1229.0,1047.0,1257.0,1076.0,1291.0,1092.0,1311.0,1092.0,1311.0,,,,10091OR0750020,OR05,,,,2024-01-01,,2024-12-31,cms,2023-10-25
224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,353.0,423.0,353.0,423.0,353.0,423.0,353.0,423.0,354.0,425.0,361.0,433.0,369.0,443.0,383.0,460.0,394.0,473.0,400.0,480.0,409.0,490.0,417.0,500.0,422.0,507.0,428.0,514.0,431.0,517.0,434.0,520.0,436.0,524.0,439.0,527.0,445.0,534.0,451.0,541.0,459.0,551.0,467.0,561.0,478.0,574.0,492.0,591.0,509.0,611.0,529.0,635.0,551.0,661.0,576.0,692.0,601.0,722.0,630.0,756.0,657.0,789.0,688.0,826.0,719.0,863.0,753.0,903.0,786.0,943.0,822.0,987.0,859.0,1031.0,898.0,1078.0,918.0,1101.0,957.0,1148.0,991.0,1189.0,1013.0,1215.0,1041.0,1249.0,1058.0,1269.0,1058.0,1269.0,,,,10091OR0750002,OR07,,,,2024-01-01,,2024-12-31,cms,2023-10-25
