id,rating_area_id,county_id,zip_code_id
295416,OR01,41005,97004
276324,OR01,41005,97009
276325,OR01,41005,97011
300766,OR01,41005,97013
276322,OR01,41005,97015
264372,OR01,41005,97017
272090,OR01,41005,97022
276321,OR01,41005,97023
300761,OR01,41005,97027
289100,OR01,41005,97028
256310,OR01,41005,97034
300762,OR01,41005,97035
296803,OR01,41005,97036
282719,OR01,41005,97038
272091,OR01,41005,97042
300763,OR01,41005,97045
256313,OR01,41005,97049
295423,OR01,41005,97055
295424,OR01,41005,97067
295397,OR01,41005,97068
300745,OR01,41005,97070
263691,OR01,41005,97086
272077,OR01,41005,97089
300741,OR01,41005,97222
276311,OR01,41005,97267
283730,OR01,41005,97268
290709,OR01,41005,97269
300769,OR01,41005,97002
261528,OR01,41005,97019
277297,OR01,41005,97032
277299,OR01,41005,97062
256289,OR01,41005,97071
265886,OR01,41005,97080
276971,OR01,41005,97132
276972,OR01,41005,97140
264368,OR01,41005,97202
282701,OR01,41005,97206
302429,OR01,41005,97219
258638,OR01,41005,97362
297965,OR01,41005,97375
266218,OR01,41051,97010
276318,OR01,41051,97019
289097,OR01,41051,97024
276319,OR01,41051,97030
282723,OR01,41051,97060
282699,OR01,41051,97080
300747,OR01,41051,97201
300748,OR01,41051,97202
263686,OR01,41051,97203
282703,OR01,41051,97204
256292,OR01,41051,97205
256288,OR01,41051,97206
283393,OR01,41051,97207
265431,OR01,41051,97208
300749,OR01,41051,97209
272078,OR01,41051,97210
276292,OR01,41051,97211
272071,OR01,41051,97212
276293,OR01,41051,97213
272072,OR01,41051,97214
276294,OR01,41051,97215
256286,OR01,41051,97216
295395,OR01,41051,97217
272073,OR01,41051,97218
300742,OR01,41051,97219
272075,OR01,41051,97220
276295,OR01,41051,97221
263683,OR01,41051,97227
297430,OR01,41051,97228
289078,OR01,41051,97230
276297,OR01,41051,97231
276296,OR01,41051,97232
272076,OR01,41051,97233
272074,OR01,41051,97236
303736,OR01,41051,97238
263684,OR01,41051,97239
278620,OR01,41051,97240
304174,OR01,41051,97242
52878,OR01,41051,97250
52879,OR01,41051,97251
52880,OR01,41051,97252
52881,OR01,41051,97253
52882,OR01,41051,97254
52883,OR01,41051,97256
263698,OR01,41051,97266
296946,OR01,41051,97280
265389,OR01,41051,97282
278756,OR01,41051,97283
303787,OR01,41051,97286
271062,OR01,41051,97290
258256,OR01,41051,97292
271004,OR01,41051,97293
270675,OR01,41051,97294
270314,OR01,41051,97296
271116,OR01,41051,97009
278109,OR01,41051,97014
272422,OR01,41051,97034
300768,OR01,41051,97035
295418,OR01,41051,97056
306917,OR01,41051,97086
52778,OR01,41051,97089
291341,OR01,41051,97124
266132,OR01,41051,97133
283392,OR01,41051,97222
304141,OR01,41051,97225
300743,OR01,41051,97229
52698,OR01,41067,97003
282720,OR01,41067,97005
272089,OR01,41067,97006
276320,OR01,41067,97007
256311,OR01,41067,97008
282722,OR01,41067,97062
263692,OR01,41067,97075
52771,OR01,41067,97076
52772,OR01,41067,97077
1063,OR01,41067,97078
92652,OR01,41067,97079
295401,OR01,41067,97106
302846,OR01,41067,97109
282700,OR01,41067,97113
276298,OR01,41067,97116
295400,OR01,41067,97117
289079,OR01,41067,97119
300746,OR01,41067,97123
263688,OR01,41067,97124
290106,OR01,41067,97125
92680,OR01,41067,97129
256293,OR01,41067,97133
295398,OR01,41067,97140
303583,OR01,41067,97144
289077,OR01,41067,97223
295394,OR01,41067,97224
263682,OR01,41067,97225
272070,OR01,41067,97229
303282,OR01,41067,97281
52895,OR01,41067,97291
278497,OR01,41067,97298
265391,OR01,41067,97035
284639,OR01,41067,97056
306916,OR01,41067,97064
270086,OR01,41067,97070
277294,OR01,41067,97132
283940,OR01,41067,97210
291355,OR01,41067,97219
306918,OR01,41067,97221
277293,OR01,41067,97231
300750,OR01,41071,97101
295402,OR01,41071,97111
289081,OR01,41071,97114
276299,OR01,41071,97115
256290,OR01,41071,97127
263685,OR01,41071,97128
256287,OR01,41071,97132
282702,OR01,41071,97148
289095,OR01,41071,97378
256977,OR01,41071,97396
264369,OR01,41071,97119
296411,OR01,41071,97123
303786,OR01,41071,97140
277671,OR01,41071,97304
283397,OR01,41071,97347
300758,OR02,41003,97324
296945,OR02,41003,97326
276314,OR02,41003,97330
289759,OR02,41003,97331
289089,OR02,41003,97333
276973,OR02,41003,97339
263705,OR02,41003,97370
272086,OR02,41003,97456
256304,OR02,41003,97321
270313,OR02,41003,97361
303969,OR02,41003,97448
282707,OR02,41039,97401
295406,OR02,41039,97402
263694,OR02,41039,97403
256298,OR02,41039,97404
282705,OR02,41039,97405
295409,OR02,41039,97408
298416,OR02,41039,97409
297286,OR02,41039,97412
272082,OR02,41039,97413
290708,OR02,41039,97419
300754,OR02,41039,97424
300752,OR02,41039,97426
258668,OR02,41039,97430
276307,OR02,41039,97431
270088,OR02,41039,97434
296620,OR02,41039,97437
270310,OR02,41039,97438
295407,OR02,41039,97439
295411,OR02,41039,97440
276303,OR02,41039,97448
297127,OR02,41039,97451
261806,OR02,41039,97452
269720,OR02,41039,97453
302848,OR02,41039,97454
264370,OR02,41039,97455
303280,OR02,41039,97461
289088,OR02,41039,97463
284218,OR02,41039,97475
282704,OR02,41039,97477
256296,OR02,41039,97478
303932,OR02,41039,97480
289083,OR02,41039,97487
283394,OR02,41039,97488
265089,OR02,41039,97489
269721,OR02,41039,97490
283395,OR02,41039,97492
283729,OR02,41039,97493
94420,OR02,41039,97324
51182,OR02,41039,97390
296944,OR02,41039,97446
266149,OR02,41039,97456
264926,OR02,41039,97498
300757,OR02,41043,97321
272087,OR02,41043,97322
276315,OR02,41043,97327
283941,OR02,41043,97329
284090,OR02,41043,97335
297032,OR02,41043,97336
302458,OR02,41043,97345
263701,OR02,41043,97348
263702,OR02,41043,97355
263703,OR02,41043,97358
282715,OR02,41043,97360
263706,OR02,41043,97374
276316,OR02,41043,97377
282714,OR02,41043,97386
256307,OR02,41043,97389
256299,OR02,41043,97446
283399,OR02,41043,97333
256976,OR02,41043,97346
302938,OR02,41043,97350
265626,OR02,41043,97352
300759,OR02,41043,97383
51363,OR02,41043,97759
272093,OR03,41047,97002
290609,OR03,41047,97020
295422,OR03,41047,97026
289099,OR03,41047,97032
282698,OR03,41047,97071
269719,OR03,41047,97137
276312,OR03,41047,97301
289093,OR03,41047,97302
256303,OR03,41047,97303
263700,OR03,41047,97305
272088,OR03,41047,97306
266661,OR03,41047,97307
276974,OR03,41047,97308
303737,OR03,41047,97309
278597,OR03,41047,97310
298674,OR03,41047,97311
258325,OR03,41047,97312
285504,OR03,41047,97314
256306,OR03,41047,97317
282717,OR03,41047,97325
277521,OR03,41047,97342
282713,OR03,41047,97346
295414,OR03,41047,97350
256305,OR03,41047,97352
276310,OR03,41047,97362
259148,OR03,41047,97373
297033,OR03,41047,97375
282716,OR03,41047,97381
263704,OR03,41047,97383
304912,OR03,41047,97384
289094,OR03,41047,97385
300760,OR03,41047,97392
264699,OR03,41047,97358
270089,OR03,41047,97360
263699,OR03,41053,97304
289090,OR03,41053,97338
256300,OR03,41053,97344
303667,OR03,41053,97347
276313,OR03,41053,97351
256301,OR03,41053,97361
256308,OR03,41053,97371
295399,OR03,41053,97101
94104,OR03,41053,97370
277672,OR03,41053,97378
282718,OR03,41053,97396
306919,OR03,41053,97321
289102,OR04,41017,97701
276327,OR04,41017,97702
51331,OR04,41017,97703
276330,OR04,41017,97707
258639,OR04,41017,97708
1067,OR04,41017,97709
269727,OR04,41017,97712
